Codigo,Despesa,Valor
33.50.41.00,"Entidades Nacionais: ABEC, CBBU, OCLC, ANDIFES, CRUB, ABEM, ANPED","R$ 85.100,00"
33.80.41.00,Organismos Internacionais: Grupo Tordesilhas e OCLC,"R$ 15.000,00"
33.90.00.00,Escola de Música - Prática de Montagem,"R$ 15.000,00"
33.90.00.00,Cursos de Extensão e Cultura,"R$ 50.000,00"
33.90.00.00,Projetos e Programas de Extensão e Cultura,"R$ 20.000,00"
33.90.00.00,Idiomas sem Fronteiras,"R$ 12.000,00"
33.90.00.00,Despesas de Exercícios anteriores,"R$ 1.500.000,00"
33.90.14.00,Diárias pessoal civil,"R$ 25.000,00"
33.90.14.14,Diária de Pessoal Civil,"R$ 225.000,00"
33.90.18.00,Monitoria,"R$ 1.840.000,00"
33.90.18.00,PET - UNIRIO,"R$ 96.000,00"
33.90.18.00,PROTES Tutoria Especial para Graduação,"R$ 132.000,00"
33.90.18.00,PRADIG,"R$ 220.000,00"
33.90.18.00,Iniciação Científica,"R$ 1.492.800,00"
33.90.18.00,PIBEX Programa Institucional de Bolsas de Extensão,"R$ 880.000,00"
33.90.18.00,PIBCUL Programa Institucional de Bolsas de Cultura,"R$ 160.000,00"
33.90.18.00,EAD - Programa Território e Trabalho,"R$ 168.000,00"
33.90.18.00,MARCA Mobilidade Acadêmica,"R$ 48.000,00"
33.90.18.00,BRACOL,"R$ 24.000,00"
33.90.18.00,BRAMEX,"R$ 24.000,00"
33.90.18.00,PNAES Bolsa Incentivo Acadêmico,"R$ 2.460.000,00"
33.90.18.00,PNAES Auxílio Alimentação,"R$ 1.656.000,00"
33.90.18.00,PNAES Auxílio Moradia,"R$ 432.000,00"
33.90.18.00,PROMISAES,"R$ 134.352,00"
33.90.20.00,Editais de fomento a pesquisador,"R$ 30.250,00"
33.90.20.00,Auxílio a PPG,"R$ 10.000,00"
33.90.20.00,Bolsa cátedra,"R$ 24.000,00"
33.90.20.00,Editais de fomento INOVA UNIRIO,"R$ 52.800,00"
33.90.30.00,Manutenção da coleção do Herbário UNIRIO,"R$ 10.000,00"
33.90.30.00,Material para manutenção predial,"R$ 335.000,00"
33.90.30.00,Combustiveis e Lubrificantes,"R$ 120.000,00"
33.90.30.00,"Água mineral, café e açucar","R$ 18.000,00"
33.90.30.00,Ressuprimento de almoxarifado e materiais de consumo diversos,"R$ 900.000,00"
33.90.30.17,TI - Material de consumo suprimentos de informática,"R$ 150.000,00"
33.90.33.00,Passagens,"R$ 800.000,00"
33.90.33.00,Passagens,"R$ 50.000,00"
33.90.36.00,Serviços de pessoa física e GECC,"R$ 50.000,00"
33.90.36.00,Outros Serviços Pessoa Física,"R$ 15.000,00"
33.90.36.00,Gratificação por Encargo de Curso ou Concurso (GECC),"R$ 260.000,00"
33.90.37.00,Contrato de limpeza e higienização,"R$ 7.600.000,00"
33.90.37.00,Contrato de guarda e vigilância,"R$ 7.328.000,00"
33.90.37.00,"Pessoal apoio - motoristas, continuos, recepcionistas e outros","R$ 5.880.000,00"
33.90.39.00,Serviços de Hospedagem,"R$ 19.000,00"
33.90.39.00,"Serviço de promoção, organização e execução de eventos","R$ 80.000,00"
33.90.39.00,Serviços de confecção de material gráfico,"R$ 57.500,00"
33.90.39.00,Serviços de editoração,"R$ 10.000,00"
33.90.39.00,Escola de Museologia - Exposição Curricular,"R$ 20.000,00"
33.90.39.00,Escola de Teatro - Prática de Montagem,"R$ 20.000,00"
33.90.39.00,Auxilio para participação em atividades e eventos,"R$ 75.000,00"
33.90.39.00,Projetos e Programas de graduação,"R$ 170.000,00"
33.90.39.00,PNAES - Restaurante Escola e outras ações de Assistência Estudantil,"R$ 2.782.080,00"
33.90.39.00,INCLUIR,"R$ 64.475,00"
33.90.39.00,Ressarcimento,"R$ 750.000,00"
33.90.39.00,Taxas de inscrição e serviços,"R$ 25.000,00"
33.90.39.00,Coleta resíduos sólidos,"R$ 48.000,00"
33.90.39.00,Manutenção predial,"R$ 1.760.000,00"
33.90.39.00,Manutenção de elevadores,"R$ 336.000,00"
33.90.39.00,Correio,"R$ 18.000,00"
33.90.39.00,Telefonia,"R$ 1.232.000,00"
33.90.39.00,Energia Elétrica,"R$ 2.016.000,00"
33.90.39.00,Água e Esgoto,"R$ 352.000,00"
33.90.39.00,Gás,"R$ 24.000,00"
33.90.39.00,TI - Certificação digital,"R$ 10.000,00"
33.90.39.00,Representação em Brasília,"R$ 48.000,00"
33.90.39.00,Locação de Máquinas copiadoras,"R$ 152.000,00"
33.90.39.00,Confecção de Carimbos e serviços de chaveiro,"R$ 6.000,00"
33.90.39.00,Assinaturas,"R$ 28.250,00"
33.90.39.00,Condomínio: Presidente Vargas e Rio Branco,"R$ 288.000,00"
33.90.39.00,"Serviços de engenharia, reformas, adaptações e serviços diversos","R$ 1.531.673,00"
33.90.39.00,Seguros - Alunos,"R$ 20.000,00"
33.90.39.00,Seguros - Veículos,"R$ 35.000,00"
33.90.39.27,TI - Serviços:,"R$ 1.250.000,00"
33.90.47.00,IPTU - Taxa de Coleta de lixo,"R$ 22.000,00"
33.90.93.00,Ajuda de custo para moradia ou auxilio-moradia,"R$ 24.000,00"
33.91.39.00,Imprensa Nacional,"R$ 92.000,00"
33.91.47.00,INSS – Obrigações Patronais,"R$ 100.950,00"
44.90.39.00,TI - Software,"R$ 185.700,00"
44.90.39.00,Manutenção do software Sophia,"R$ 15.370,00"
44.90.51.00,Obras,"R$ 310.700,00"
44.90.52.00,Material permanente,"R$ 1.125.797,00"
44.90.52.00,Manutenção da coleção do Herbário UNIRIO,"R$ 6.250,00"
44.90.52.00,"Manunteção, preservação e ampliação do acervo bibliográfico","R$ 368.800,00"
44.90.52.35,TI - Material Permanente,"R$ 932.900,00"
